,SUB_ID
0,29006
1,29007
2,29008
3,29009
4,29010
5,29012
6,29013
7,29015
8,29017
9,29025
10,29026
11,29027
12,29028
13,29029
14,29030
15,29031
16,29037
17,29039
18,29041
19,29042
20,29043
21,29046
22,29052
23,29053
24,29055
25,30144
26,30148
27,30150
28,30151
112,29057
113,29058
114,29059
115,29060
116,29062
117,29063
118,29064
119,29065
120,29066
121,29067
122,29068
123,29069
124,29070
149,28752
150,28754
151,28756
152,28758
153,28761
154,28764
155,28765
156,28768
157,28771
158,28777
159,28778
160,28779
161,28780
162,28782
163,28784
164,28787
165,28788
166,28789
167,28790
168,28791
169,28795
170,28796
171,28799
172,28800
173,28802
175,28807
176,28808
177,28809
178,28810
179,28811
180,28815
181,28816
182,28817
183,28818
184,28819
185,28820
186,28821
187,28822
188,28823
189,28824
190,28825
191,28831
192,28832
193,28834
194,28835
195,28838
196,28839
197,28840
198,28843
199,28844
255,29584
256,29587
257,29588
259,29592
260,29595
261,29603
264,29610
266,29613
267,29615
268,29619
269,29623
270,29624
271,29626
272,29627
274,29629
275,29633
276,29634
311,29539
312,29540
313,29541
314,29542
315,29543
316,29544
317,29545
318,29547
319,29549
320,29553
321,29555
322,29559
323,29561
324,29562
325,29566
326,29568
327,29569
328,29572
329,29575
330,29576
351,29273
352,29274
354,29276
355,29277
356,29278
357,29279
358,29280
359,29281
360,29282
361,29283
362,29284
363,29285
364,29286
365,29287
366,29288
367,29289
368,29290
369,29291
370,29292
371,29293
372,29344
373,29375
374,29376
375,29385
376,29389
377,29391
378,29392
379,29393
380,29394
381,29398
382,29400
383,29401
384,29403
385,29404
386,29408
387,29409
388,29410
389,29411
390,29412
391,29413
392,29415
393,29416
394,29417
395,29430
396,29433
397,29434
398,29435
399,29449
400,29456
401,29458
402,29477
403,29479
404,29481
405,29482
406,29484
562,29656
563,29657
564,29658
565,29659
566,29660
567,29661
568,29662
569,29664
570,29665
571,29666
572,29667
573,29668
574,29669
575,29670
576,29671
577,29674
578,29675
579,29676
580,29677
581,29678
582,29679
583,29794
584,29795
585,29796
586,29797
587,29798
588,29799
589,29800
590,29177
592,29179
594,29181
595,29182
597,29184
598,29185
599,29186
600,29187
601,29188
604,29191
606,29193
610,29197
611,29198
612,29199
613,29200
614,29201
615,29202
617,29204
618,29205
619,29206
620,29207
621,29208
622,29209
623,29210
624,29211
625,29212
626,29213
627,29214
628,29215
629,29216
630,29217
631,29218
632,29219
633,29220
634,29221
635,29222
668,29150
669,29151
670,29152
671,29153
672,29154
673,29155
674,29156
675,29157
676,29158
677,29159
678,29160
679,29161
681,29163
682,29164
683,29165
684,29166
685,29167
686,29168
687,29169
688,29170
689,29171
690,29172
692,29174
693,29175
694,29176
695,28920
696,28924
697,28925
698,28926
699,28927
700,28930
701,28931
702,28933
703,28934
704,28935
705,28936
706,28937
707,28938
708,28939
709,28940
710,28941
711,28942
712,28949
713,28952
714,28957
715,28958
716,28962
717,28963
718,28964
719,28966
720,28967
721,28968
722,28972
723,28982
724,28986
725,28987
726,28988
727,28992
728,28995
729,28997
730,28998
731,30156
788,28675
789,28676
790,28677
791,28678
792,28679
793,28680
794,28681
795,28682
796,28683
797,28684
798,28685
799,28686
800,28687
801,28688
802,28689
803,28690
804,28691
805,28692
806,28693
807,28694
808,28695
809,28696
810,28697
811,28718
847,28853
848,28855
850,28857
851,28859
852,28860
853,28861
854,28864
855,28865
856,28866
857,28869
858,28871
859,28872
860,28873
861,28874
862,28875
863,28876
864,28879
865,28884
866,28885
867,28887
868,28890
869,28896
870,28897
871,28898
872,28899
873,28901
874,28903
875,28905
876,28906
877,28907
878,28908
879,28909
947,29096
948,29097
949,29098
950,29099
951,29100
952,29101
953,29102
954,29103
955,29104
956,29105
957,29106
958,29107
959,29108
960,29109
961,29110
962,29111
963,29112
964,29113
965,29114
966,29115
967,29116
989,29999
990,30000
991,30001
992,30002
993,30003
994,30005
995,30010
996,30011
997,30013
998,30014
999,30016
1000,30017
1001,30018
1002,30019
1003,30021
1004,30026
1005,30027
1006,30028
1021,29728
1022,29729
1023,29730
1024,29731
1025,29732
1026,29733
1027,29734
1028,29735
1029,29736
1030,29737
1031,29738
1032,29739
1033,29740
1034,29741
1035,29742
1036,29743
1082,29497
1083,29498
1084,29500
1086,29503
1089,29508
1090,29509
1092,29511
1093,29514
1094,29515
1095,29516
29,29011
30,29014
31,29016
32,29018
33,29019
34,29020
35,29021
36,29022
37,29023
38,29024
39,29032
40,29033
41,29034
42,29035
43,29036
44,29038
45,29040
46,29044
47,29045
48,29047
49,29048
50,29049
51,29050
52,29051
53,29054
54,29056
55,30146
56,30147
57,30149
125,29071
126,29072
127,29073
128,29074
129,29075
130,29076
131,29077
132,29078
133,29079
134,29080
135,29081
136,29082
137,29083
138,29084
139,29085
140,29086
141,29087
142,29088
143,29089
144,29090
145,29091
146,29092
147,29093
148,29094
200,28741
201,28742
202,28743
203,28744
204,28745
205,28746
206,28747
207,28748
208,28749
209,28750
210,28751
211,28753
213,28757
214,28759
215,28760
216,28762
217,28763
218,28766
219,28767
220,28769
221,28770
222,28772
223,28773
224,28774
225,28775
226,28776
227,28781
228,28783
229,28785
230,28786
231,28792
232,28793
233,28794
234,28797
235,28798
236,28801
237,28803
238,28804
239,28806
240,28812
241,28813
242,28814
243,28826
244,28827
245,28828
246,28829
247,28830
248,28836
249,28837
250,28841
251,28842
252,28845
253,28846
254,28847
287,29596
290,29599
299,29614
301,29617
304,29621
305,29622
307,29630
309,29632
331,29538
332,29546
333,29548
334,29550
335,29551
336,29552
337,29554
338,29556
339,29557
340,29558
341,29560
342,29563
343,29564
344,29565
345,29567
346,29570
347,29571
348,29573
349,29574
350,29577
407,29294
408,29295
409,29296
410,29297
411,29298
412,29299
413,29300
414,29301
415,29302
416,29303
417,29304
418,29305
419,29306
420,29307
421,29308
422,29309
423,29310
424,29311
425,29312
426,29313
427,29314
428,29315
429,29316
430,29317
431,29318
432,29319
433,29320
434,29321
435,29322
436,29323
437,29324
438,29325
439,29326
440,29327
441,29328
442,29329
443,29330
444,29331
445,29332
446,29333
447,29334
448,29335
449,29336
450,29337
451,29338
452,29339
453,29340
454,29341
455,29342
456,29343
457,29345
458,29346
459,29347
460,29348
461,29349
462,29350
463,29351
464,29352
465,29353
466,29354
467,29355
468,29356
469,29357
470,29358
471,29359
472,29360
473,29361
474,29362
475,29363
476,29364
477,29365
478,29366
479,29367
480,29368
481,29369
482,29370
483,29371
484,29372
485,29373
486,29374
487,29377
488,29378
489,29379
490,29380
491,29381
492,29382
493,29383
494,29384
495,29386
496,29387
497,29388
498,29390
499,29395
500,29396
501,29397
502,29399
503,29402
504,29405
505,29407
506,29414
507,29418
508,29419
509,29420
510,29421
511,29422
512,29423
513,29424
514,29425
515,29427
516,29428
517,29429
518,29431
519,29432
520,29436
521,29437
522,29438
523,29439
524,29440
525,29441
526,29442
527,29443
528,29444
529,29445
530,29446
531,29447
532,29448
533,29450
534,29451
535,29452
536,29453
537,29454
538,29455
539,29457
540,29459
541,29460
542,29461
543,29462
544,29463
545,29464
546,29465
547,29466
548,29467
549,29468
550,29469
551,29470
552,29471
553,29472
554,29473
555,29474
556,29475
557,29476
558,29478
559,29480
560,29483
561,29485
638,29225
639,29226
640,29227
641,29228
642,29229
643,29230
644,29231
645,29232
646,29233
647,29234
648,29235
649,29236
650,29237
651,29238
652,29239
653,29240
654,29241
655,29242
656,29243
657,29244
658,29245
659,29246
660,29247
661,29248
662,29249
663,29250
664,29251
665,29252
667,29254
732,28943
733,28944
734,28945
735,28946
736,28947
737,28948
738,28950
739,28951
740,28953
741,28954
742,28955
743,28956
744,28960
745,28961
746,28965
747,28969
748,28970
749,28971
750,28973
751,28974
752,28975
753,28976
754,28977
755,28978
756,28979
757,28980
758,28981
759,28983
760,28984
761,28985
762,28989
763,28990
764,28991
765,28993
766,28994
767,28996
768,28999
769,29000
770,29001
771,29002
772,29003
773,29004
774,29005
775,30154
776,30155
777,30157
778,30158
779,30159
780,30160
781,30161
782,30162
783,30163
784,30164
785,30165
786,30166
787,30167
812,28698
813,28699
814,28700
815,28701
816,28702
817,28703
818,28704
819,28705
820,28706
821,28707
822,28708
823,28709
824,28710
825,28711
826,28712
827,28713
828,28714
829,28715
830,28716
831,28717
832,28719
833,28720
834,28721
835,28722
836,28723
837,28724
838,28725
839,28726
840,28727
841,28728
842,28729
843,28730
844,28731
845,28732
846,28733
881,28854
882,28858
883,28862
884,28863
885,28867
886,28868
887,28870
888,28877
889,28878
890,28880
891,28881
892,28882
893,28883
894,28886
895,28888
896,28889
897,28891
898,28892
899,28893
900,28894
901,28895
902,28900
903,28902
904,28904
968,29117
969,29118
970,29119
971,29120
972,29121
973,29122
974,29123
975,29124
976,29125
977,29126
978,29127
979,29128
980,29129
981,29130
982,29131
983,29132
984,29133
985,29134
986,29135
987,29136
988,29137
1007,29997
1008,29998
1009,30004
1010,30006
1011,30007
1012,30008
1013,30009
1014,30012
1015,30015
1016,30020
1017,30022
1018,30023
1019,30024
1020,30029
1037,29744
1038,29745
1039,29746
1040,29747
1041,29748
1042,29749
1043,29750
1044,29751
1046,29753
1047,29754
1049,29756
1050,29757
1051,29758
1052,29759
1098,29496
1099,29499
1100,29501
1101,29504
1102,29505
1103,29512
1104,29513
1105,29517
1106,29518
1111,29525
